trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'e': 0.09759000729485333, 'a': 0.5}",25,0,-7.2303522801357705,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
106,False,"{'e': 0.09712858623572641, 'a': 0.5}",20,8,17.585209556406944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'e': 0.09667364890456635, 'a': 0.5}",25,5,13.434230703570526,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'e': 0.09622504486493763, 'a': 0.5}",20,0,24.285438460695314,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'e': 0.09578262852211514, 'a': 0.5}",20,0,-21.94952568744262,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
110,False,"{'e': 0.09534625892455924, 'a': 0.5}",20,0,-25.564557872603565,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
111,False,"{'e': 0.0949157995752499, 'a': 0.5}",25,0,8.086490828315839,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
112,False,"{'e': 0.0944911182523068, 'a': 0.5}",20,11,12.891306318156214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'e': 0.09407208683835973, 'a': 0.5}",20,0,1.7921560705514725,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'e': 0.0936585811581694, 'a': 0.5}",30,0,-31.80241194445119,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
115,False,"{'e': 0.09325048082403138, 'a': 0.5}",25,0,28.856567037143165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'e': 0.09284766908852593, 'a': 0.5}",30,20,-9.154822492141932,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'e': 0.09245003270420485, 'a': 0.5}",20,0,-9.70092463152684,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
118,False,"{'e': 0.09205746178983235, 'a': 0.5}",20,0,-68.73876819071505,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
119,False,"{'e': 0.09166984970282113, 'a': 0.5}",20,0,24.22104502141336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'e': 0.09128709291752768, 'a': 0.5}",20,13,10.829757317249506,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'e': 0.09090909090909091, 'a': 0.5}",25,0,-21.838614120233714,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
122,False,"{'e': 0.09053574604251853, 'a': 0.5}",30,0,37.34987043006143,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'e': 0.09016696346674323, 'a': 0.5}",20,4,21.79967591722463,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'e': 0.08980265101338746, 'a': 0.5}",20,11,6.363501965491122,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'e': 0.08944271909999159, 'a': 0.5}",20,0,-3.311583600946826,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
126,False,"{'e': 0.0890870806374748, 'a': 0.5}",20,11,17.378914502116768,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.08873565094161139, 'a': 0.5}",20,9,-6.760885632320996,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'e': 0.08838834764831843, 'a': 0.5}",25,5,30.76654407589631,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'e': 0.08804509063256238, 'a': 0.5}",20,0,-4.380207541552847,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
130,False,"{'e': 0.08770580193070293, 'a': 0.5}",20,0,-6.255324908290456,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
131,False,"{'e': 0.0873704056661038, 'a': 0.5}",20,7,-32.278620334085886,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'e': 0.08703882797784893, 'a': 0.5}",30,17,24.303424848167808,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.086710996952412, 'a': 0.5}",20,11,14.177520543181961,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.08638684255813601, 'a': 0.5}",25,16,18.693487311506104,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'e': 0.08606629658238704, 'a': 0.5}",20,7,-2.6461623938536523,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'e': 0.08574929257125441, 'a': 0.5}",25,9,21.27752465010024,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.0854357657716761, 'a': 0.5}",25,0,-5.292142481616212,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
138,False,"{'e': 0.08512565307587486, 'a': 0.5}",25,0,27.14772610606595,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'e': 0.08481889296799709, 'a': 0.5}",25,0,-27.104982753186828,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
140,False,"{'e': 0.08451542547285165, 'a': 0.5}",25,14,13.933982479282582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'e': 0.0842151921066519, 'a': 0.5}",20,16,8.881676547958598,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.08391813582966891, 'a': 0.5}",20,0,-48.13612570197396,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
143,False,"{'e': 0.08362420100070908, 'a': 0.5}",20,0,20.537318720248216,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'e': 0.08333333333333333, 'a': 0.5}",25,0,21.973340415564095,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'e': 0.08304547985373997, 'a': 0.5}",25,11,13.511253933507955,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'e': 0.0827605888602368, 'a': 0.5}",30,0,-22.567093670726223,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
147,False,"{'e': 0.08247860988423225, 'a': 0.5}",30,4,24.488412670295258,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'e': 0.08219949365267865, 'a': 0.5}",20,0,23.299508046628375,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
149,False,"{'e': 0.08192319205190406, 'a': 0.5}",20,0,8.243802491616803,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
150,False,"{'e': 0.08164965809277261, 'a': 0.5}",30,12,13.10310122537358,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
